"DOY","Hr","Min","Hour","Ta","Ts"
200,0,0,0,22.65,26.16
200,0,10,0.166666666666667,22.57,25.97
200,0,20,0.333333333333333,22.51,26
200,0,30,0.5,22.38,26.09
200,0,40,0.666666666666667,22.33,26.08
200,0,50,0.833333333333333,22.12,25.94
200,1,0,1,21.83,25.97
200,1,10,1.16666666666667,21.67,26.03
200,1,20,1.33333333333333,21.62,26.05
200,1,30,1.5,21.63,25.96
200,1,40,1.66666666666667,21.72,25.92
200,1,50,1.83333333333333,21.63,25.88
200,2,0,2,21.34,25.93
200,2,10,2.16666666666667,21.29,25.96
200,2,20,2.33333333333333,21.32,25.95
200,2,30,2.5,21.28,25.9
200,2,40,2.66666666666667,21.18,26.06
200,2,50,2.83333333333333,20.95,25.98
200,3,0,3,20.57,26.04
200,3,10,3.16666666666667,20.3,26
200,3,20,3.33333333333333,20.26,25.97
200,3,30,3.5,20.26,25.98
200,3,40,3.66666666666667,20.03,25.89
200,3,50,3.83333333333333,19.7,25.65
200,4,0,4,19.88,25.67
200,4,10,4.16666666666667,19.65,25.7
200,4,20,4.33333333333333,19.43,25.62
200,4,30,4.5,19.33,25.7
200,4,40,4.66666666666667,19.59,25.63
200,4,50,4.83333333333333,19.26,25.59
200,5,0,5,18.99,25.69
200,5,10,5.16666666666667,19.41,25.6
200,5,20,5.33333333333333,19.7,25.45
200,5,30,5.5,20.45,25.22
200,5,40,5.66666666666667,21.04,24.96
200,5,50,5.83333333333333,21.88,24.69
200,6,0,6,22.11,24.63
200,6,10,6.16666666666667,22.23,24.42
200,6,20,6.33333333333333,22.88,24.16
200,6,30,6.5,23.68,24.16
200,6,40,6.66666666666667,24.42,24.2
200,6,50,6.83333333333333,24.47,24.06
200,7,0,7,25.01,24.07
200,7,10,7.16666666666667,25.23,24.22
200,7,20,7.33333333333333,25.31,24.11
200,7,30,7.5,25.61,24.15
200,7,40,7.66666666666667,25.72,24.1
200,7,50,7.83333333333333,26.28,24.1
200,8,0,8,26.46,24.13
200,8,10,8.16666666666667,26.77,24.17
200,8,20,8.33333333333333,26.77,24.33
200,8,30,8.5,26.85,24.34
200,8,40,8.66666666666667,26.79,24.48
200,8,50,8.83333333333333,27.12,24.76
200,9,0,9,27.21,24.75
200,9,10,9.16666666666667,26.74,24.92
200,9,20,9.33333333333333,26.03,25.58
200,9,30,9.5,26.15,26.29
200,9,40,9.66666666666667,27.04,26.28
200,9,50,9.83333333333333,26.57,25.96
200,10,0,10,26.2,26.1
200,10,10,10.1666666666667,26.6,26.41
200,10,20,10.3333333333333,27.38,26.08
200,10,30,10.5,27.83,25.28
200,10,40,10.6666666666667,27.53,25.08
200,10,50,10.8333333333333,28.18,25.14
200,11,0,11,28.43,25.13
200,11,10,11.1666666666667,28.57,25.03
200,11,20,11.3333333333333,28.01,25.34
200,11,30,11.5,27.3,26.06
200,11,40,11.6666666666667,27.25,26.88
200,11,50,11.8333333333333,27.52,27.06
200,12,0,12,27.94,26.74
200,12,10,12.1666666666667,27.95,26.34
200,12,20,12.3333333333333,28.06,26.09
200,12,30,12.5,27.84,26.01
200,12,40,12.6666666666667,27.48,26.48
200,12,50,12.8333333333333,27.18,26.94
200,13,0,13,26.86,27.23
200,13,10,13.1666666666667,26.35,27.47
200,13,20,13.3333333333333,25.99,27.64
200,13,30,13.5,25.7,27.57
200,13,40,13.6666666666667,25.49,27.52
200,13,50,13.8333333333333,24.64,27.5
200,14,0,14,23.72,27.64
200,14,10,14.1666666666667,23.12,27.77
200,14,20,14.3333333333333,22.48,27.56
200,14,30,14.5,22.13,27.33
200,14,40,14.6666666666667,21.95,27.3
200,14,50,14.8333333333333,21.7,27.04
200,15,0,15,21.71,26.75
200,15,10,15.1666666666667,21.83,26.61
200,15,20,15.3333333333333,22.21,26.45
200,15,30,15.5,22.78,26.16
200,15,40,15.6666666666667,23.69,25.41
200,15,50,15.8333333333333,23.85,24.89
200,16,0,16,23.84,25.08
200,16,10,16.1666666666667,23.77,25.35
200,16,20,16.3333333333333,24.03,25.57
200,16,30,16.5,23.61,25.81
200,16,40,16.6666666666667,23.11,26.08
200,16,50,16.8333333333333,22.58,26.3
200,17,0,17,22,26.54
200,17,10,17.1666666666667,21.82,26.69
200,17,20,17.3333333333333,21.61,26.6
200,17,30,17.5,21.51,26.65
200,17,40,17.6666666666667,21.4,26.66
200,17,50,17.8333333333333,21.45,26.41
200,18,0,18,21.37,26.22
200,18,10,18.1666666666667,21.14,25.97
200,18,20,18.3333333333333,21,25.97
200,18,30,18.5,20.85,25.99
200,18,40,18.6666666666667,20.61,25.96
200,18,50,18.8333333333333,20.33,25.88
200,19,0,19,20.36,25.89
200,19,10,19.1666666666667,20.52,25.8
200,19,20,19.3333333333333,20.5,25.73
200,19,30,19.5,20.15,25.72
200,19,40,19.6666666666667,20.02,25.7
200,19,50,19.8333333333333,19.95,25.59
200,20,0,20,20.03,25.54
200,20,10,20.1666666666667,20.11,25.52
200,20,20,20.3333333333333,20.25,25.39
200,20,30,20.5,20.28,25.37
200,20,40,20.6666666666667,20.29,25.44
200,20,50,20.8333333333333,20.25,25.34
200,21,0,21,20.6,25.44
200,21,10,21.1666666666667,21.48,25.21
200,21,20,21.3333333333333,20.97,25.21
200,21,30,21.5,20.65,25.14
200,21,40,21.6666666666667,20.64,25.15
200,21,50,21.8333333333333,20.57,25.05
200,22,0,22,20.51,24.94
200,22,10,22.1666666666667,20.37,24.88
200,22,20,22.3333333333333,20.26,24.7
200,22,30,22.5,20.08,24.85
200,22,40,22.6666666666667,20.01,24.9
200,22,50,22.8333333333333,19.91,24.65
200,23,0,23,19.8,24.57
200,23,10,23.1666666666667,19.79,24.61
200,23,20,23.3333333333333,19.82,24.59
200,23,30,23.5,19.74,24.75
200,23,40,23.6666666666667,19.66,24.63
200,23,50,23.8333333333333,19.64,24.62
201,0,0,0,19.74,24.52
201,0,10,0.166666666666667,19.91,24.38
201,0,20,0.333333333333333,19.89,24.25
201,0,30,0.5,19.87,24.22
201,0,40,0.666666666666667,19.88,24.27
201,0,50,0.833333333333333,19.81,24.25
201,1,0,1,19.77,24.14
201,1,10,1.16666666666667,19.89,24.06
201,1,20,1.33333333333333,20.09,24.1
201,1,30,1.5,20.65,24.14
201,1,40,1.66666666666667,20.64,24.01
201,1,50,1.83333333333333,20.08,24.05
201,2,0,2,19.86,24.15
201,2,10,2.16666666666667,19.79,24.16
201,2,20,2.33333333333333,19.79,24.1
201,2,30,2.5,19.76,24.09
201,2,40,2.66666666666667,19.75,24.1
201,2,50,2.83333333333333,19.76,24.08
201,3,0,3,19.74,24.07
201,3,10,3.16666666666667,19.81,24.09
201,3,20,3.33333333333333,19.83,24.12
201,3,30,3.5,19.84,24.09
201,3,40,3.66666666666667,19.86,23.88
201,3,50,3.83333333333333,19.77,23.85
201,4,0,4,19.72,23.95
201,4,10,4.16666666666667,19.67,24.04
201,4,20,4.33333333333333,19.58,24.07
201,4,30,4.5,19.62,24.01
201,4,40,4.66666666666667,19.61,23.95
201,4,50,4.83333333333333,19.61,23.95
201,5,0,5,19.66,23.83
201,5,10,5.16666666666667,19.65,23.73
201,5,20,5.33333333333333,19.66,23.88
201,5,30,5.5,19.77,23.91
201,5,40,5.66666666666667,19.86,23.92
201,5,50,5.83333333333333,19.95,23.83
201,6,0,6,20.01,23.89
201,6,10,6.16666666666667,20.06,23.78
201,6,20,6.33333333333333,20.14,23.6
201,6,30,6.5,20.2,23.5
201,6,40,6.66666666666667,20.33,23.51
201,6,50,6.83333333333333,20.58,23.54
201,7,0,7,20.82,23.45
201,7,10,7.16666666666667,21.02,23.29
201,7,20,7.33333333333333,21.7,23.09
201,7,30,7.5,22.26,22.74
201,7,40,7.66666666666667,22.23,22.77
201,7,50,7.83333333333333,22.66,22.86
201,8,0,8,22.93,22.89
201,8,10,8.16666666666667,22.82,23.04
201,8,20,8.33333333333333,22.59,23.27
201,8,30,8.5,22.37,23.71
201,8,40,8.66666666666667,22.28,24.18
201,8,50,8.83333333333333,22.32,24.25
201,9,0,9,22.23,24.08
201,9,10,9.16666666666667,22.15,24.22
201,9,20,9.33333333333333,22.09,23.77
201,9,30,9.5,22.19,24.1
201,9,40,9.66666666666667,22.1,24.12
201,9,50,9.83333333333333,21.97,24.11
201,10,0,10,21.83,24.34
201,10,10,10.1666666666667,21.56,24.45
201,10,20,10.3333333333333,21.39,24.27
201,10,30,10.5,21.32,24.35
201,10,40,10.6666666666667,21.29,24.34
201,10,50,10.8333333333333,21.2,24.29
201,11,0,11,21.08,24.33
201,11,10,11.1666666666667,21.16,24.13
201,11,20,11.3333333333333,21.48,24.06
201,11,30,11.5,21.7,24
201,11,40,11.6666666666667,22.07,23.99
201,11,50,11.8333333333333,22.72,23.54
201,12,0,12,22.85,22.89
201,12,10,12.1666666666667,22.87,22.72
201,12,20,12.3333333333333,22.76,22.88
201,12,30,12.5,23.03,23.35
201,12,40,12.6666666666667,23.21,23.43
201,12,50,12.8333333333333,23.22,23.55
201,13,0,13,23.17,23.72
201,13,10,13.1666666666667,23.18,23.93
201,13,20,13.3333333333333,23.07,24.06
201,13,30,13.5,23.71,24.19
201,13,40,13.6666666666667,24.74,23.79
201,13,50,13.8333333333333,24.76,23.19
201,14,0,14,24.59,23.16
201,14,10,14.1666666666667,24.45,23.57
201,14,20,14.3333333333333,24.2,24.06
201,14,30,14.5,24.08,24.5
201,14,40,14.6666666666667,24.17,24.65
201,14,50,14.8333333333333,25.13,24.45
201,15,0,15,25.3,23.62
201,15,10,15.1666666666667,25.35,23.26
201,15,20,15.3333333333333,25.94,23.4
201,15,30,15.5,26.36,23.54
201,15,40,15.6666666666667,26.37,23.4
201,15,50,15.8333333333333,26.59,23.33
201,16,0,16,26.75,23.35
201,16,10,16.1666666666667,26.82,23.63
201,16,20,16.3333333333333,26.8,23.88
201,16,30,16.5,27.26,24.29
201,16,40,16.6666666666667,27.26,24.54
201,16,50,16.8333333333333,26.9,24.73
201,17,0,17,26.5,25.13
201,17,10,17.1666666666667,26.69,25.47
201,17,20,17.3333333333333,27.67,25.16
201,17,30,17.5,26.92,24.85
201,17,40,17.6666666666667,26.89,25.2
201,17,50,17.8333333333333,27.07,25.17
201,18,0,18,26.81,25.27
201,18,10,18.1666666666667,26.57,25.25
201,18,20,18.3333333333333,26.32,25.26
201,18,30,18.5,26.05,25.3
201,18,40,18.6666666666667,25.76,25.51
201,18,50,18.8333333333333,25.33,25.64
201,19,0,19,24.72,25.71
201,19,10,19.1666666666667,24.38,25.93
201,19,20,19.3333333333333,24.12,26.07
201,19,30,19.5,23.84,26.1
201,19,40,19.6666666666667,23.36,26.19
201,19,50,19.8333333333333,22.73,26.19
201,20,0,20,22.37,26.04
201,20,10,20.1666666666667,22.38,26.01
201,20,20,20.3333333333333,22.06,25.81
201,20,30,20.5,21.83,25.81
201,20,40,20.6666666666667,21.6,25.61
201,20,50,20.8333333333333,21.5,25.46
201,21,0,21,21.25,25.49
201,21,10,21.1666666666667,21.08,25.44
201,21,20,21.3333333333333,21.14,25.32
201,21,30,21.5,21.1,25.25
201,21,40,21.6666666666667,21,25.23
201,21,50,21.8333333333333,21.05,25.21
201,22,0,22,21.06,25.1
201,22,10,22.1666666666667,21.03,25.07
201,22,20,22.3333333333333,21.06,24.9
201,22,30,22.5,20.96,24.86
201,22,40,22.6666666666667,21,24.91
201,22,50,22.8333333333333,20.92,24.82
201,23,0,23,21.05,24.67
201,23,10,23.1666666666667,21.16,24.67
201,23,20,23.3333333333333,21.27,24.67
201,23,30,23.5,21.22,24.57
201,23,40,23.6666666666667,21.31,24.6
201,23,50,23.8333333333333,21.38,24.67
202,0,0,0,21.33,24.7
202,0,10,0.166666666666667,21.33,24.67
202,0,20,0.333333333333333,21.34,24.53
202,0,30,0.5,21.56,24.61
202,0,40,0.666666666666667,21.76,24.55
202,0,50,0.833333333333333,21.85,24.53
202,1,0,1,21.32,24.49
202,1,10,1.16666666666667,21.03,24.54
202,1,20,1.33333333333333,21.07,24.73
202,1,30,1.5,21.07,24.79
202,1,40,1.66666666666667,21.04,24.77
202,1,50,1.83333333333333,21.14,24.62
202,2,0,2,21.09,24.67
202,2,10,2.16666666666667,21.03,24.56
202,2,20,2.33333333333333,21.01,24.49
202,2,30,2.5,20.9,24.44
202,2,40,2.66666666666667,20.82,24.62
202,2,50,2.83333333333333,20.81,24.6
202,3,0,3,20.77,24.62
202,3,10,3.16666666666667,20.84,24.58
202,3,20,3.33333333333333,20.87,24.36
202,3,30,3.5,20.9,24.35
202,3,40,3.66666666666667,20.97,24.36
202,3,50,3.83333333333333,20.96,24.34
202,4,0,4,21,24.42
202,4,10,4.16666666666667,21.01,24.34
202,4,20,4.33333333333333,21.14,24.35
202,4,30,4.5,21.24,24.22
202,4,40,4.66666666666667,20.9,24.29
202,4,50,4.83333333333333,20.72,24.31
202,5,0,5,20.7,24.42
202,5,10,5.16666666666667,20.71,24.29
202,5,20,5.33333333333333,21.45,24.22
202,5,30,5.5,21.9,23.95
202,5,40,5.66666666666667,21.77,24.05
202,5,50,5.83333333333333,21.75,23.97
202,6,0,6,21.94,23.95
202,6,10,6.16666666666667,22.49,24
202,6,20,6.33333333333333,22.88,23.89
202,6,30,6.5,23.65,23.94
202,6,40,6.66666666666667,24.48,23.58
202,6,50,6.83333333333333,24.35,23.27
202,7,0,7,24.26,23.42
202,7,10,7.16666666666667,24.42,23.72
202,7,20,7.33333333333333,24.71,23.77
202,7,30,7.5,24.9,23.72
202,7,40,7.66666666666667,25.14,23.63
202,7,50,7.83333333333333,25.91,23.38
202,8,0,8,26.37,22.89
202,8,10,8.16666666666667,26.05,22.74
202,8,20,8.33333333333333,26.03,23.46
202,8,30,8.5,26.87,23.36
202,8,40,8.66666666666667,26.4,23.44
202,8,50,8.83333333333333,27.23,23.61
202,9,0,9,27.07,23.29
202,9,10,9.16666666666667,26.71,23.8
202,9,20,9.33333333333333,27.3,24.22
202,9,30,9.5,27.76,24.09
202,9,40,9.66666666666667,28.11,23.74
202,9,50,9.83333333333333,28.14,23.76
202,10,0,10,27.97,23.97
202,10,10,10.1666666666667,28.49,24.19
202,10,20,10.3333333333333,28.46,24.13
202,10,30,10.5,28.23,24.59
202,10,40,10.6666666666667,28.46,24.81
202,10,50,10.8333333333333,28.65,24.76
202,11,0,11,28.86,24.68
202,11,10,11.1666666666667,29.08,24.71
202,11,20,11.3333333333333,29.39,24.62
202,11,30,11.5,29.44,24.43
202,11,40,11.6666666666667,29.41,24.84
202,11,50,11.8333333333333,29.71,24.98
202,12,0,12,28.96,25.27
202,12,10,12.1666666666667,28.47,26.12
202,12,20,12.3333333333333,28.29,26.6
202,12,30,12.5,26.82,26.93
202,12,40,12.6666666666667,25.43,27.37
202,12,50,12.8333333333333,24.85,27.94
202,13,0,13,25.52,27.69
202,13,10,13.1666666666667,26.33,27.08
202,13,20,13.3333333333333,26.45,26.45
202,13,30,13.5,26.64,25.94
202,13,40,13.6666666666667,26.44,25.62
202,13,50,13.8333333333333,26.46,25.48
202,14,0,14,26.88,25.32
202,14,10,14.1666666666667,27.05,25.11
202,14,20,14.3333333333333,27.29,25.1
202,14,30,14.5,27.65,24.94
202,14,40,14.6666666666667,27.8,25.15
202,14,50,14.8333333333333,28.11,25.09
202,15,0,15,28.34,25.08
202,15,10,15.1666666666667,28.37,25.02
202,15,20,15.3333333333333,28.12,25.25
202,15,30,15.5,27.58,25.98
202,15,40,15.6666666666667,27.29,26.7
202,15,50,15.8333333333333,27.05,27.08
202,16,0,16,26.8,27.18
202,16,10,16.1666666666667,26.59,27.19
202,16,20,16.3333333333333,26.27,27.28
202,16,30,16.5,25.95,27.23
202,16,40,16.6666666666667,25.68,27.26
202,16,50,16.8333333333333,25.33,27.34
202,17,0,17,25.28,27.19
202,17,10,17.1666666666667,25.22,26.89
202,17,20,17.3333333333333,25.1,26.6
202,17,30,17.5,24.71,26.44
202,17,40,17.6666666666667,24.52,26.45
202,17,50,17.8333333333333,24.86,26.36
202,18,0,18,25.2,26.07
202,18,10,18.1666666666667,25.09,25.88
202,18,20,18.3333333333333,24.99,25.9
202,18,30,18.5,24.85,26.15
202,18,40,18.6666666666667,24.47,26.4
202,18,50,18.8333333333333,24.08,26.44
202,19,0,19,23.87,26.4
202,19,10,19.1666666666667,23.67,26.29
202,19,20,19.3333333333333,23.49,26.28
202,19,30,19.5,23.37,26.35
202,19,40,19.6666666666667,23.32,26.39
202,19,50,19.8333333333333,23.1,26.19
202,20,0,20,23.03,26.18
202,20,10,20.1666666666667,23.16,26.09
202,20,20,20.3333333333333,23.25,26.01
202,20,30,20.5,23.23,26.17
202,20,40,20.6666666666667,23.03,26.09
202,20,50,20.8333333333333,22.76,26.04
202,21,0,21,22.63,26
202,21,10,21.1666666666667,22.51,26.02
202,21,20,21.3333333333333,22.51,26.09
202,21,30,21.5,22.34,26.13
202,21,40,21.6666666666667,22.24,26.07
202,21,50,21.8333333333333,22.15,26.04
202,22,0,22,22.06,26.02
202,22,10,22.1666666666667,21.92,25.98
202,22,20,22.3333333333333,21.84,25.97
202,22,30,22.5,21.77,25.84
202,22,40,22.6666666666667,21.6,25.73
202,22,50,22.8333333333333,21.42,25.76
202,23,0,23,21.32,25.85
202,23,10,23.1666666666667,21.24,25.85
202,23,20,23.3333333333333,21.09,25.74
202,23,30,23.5,20.96,25.81
202,23,40,23.6666666666667,20.83,25.69
202,23,50,23.8333333333333,20.82,25.56
203,0,0,0,20.78,25.53
203,0,10,0.166666666666667,20.74,25.38
203,0,20,0.333333333333333,20.74,25.29
203,0,30,0.5,20.72,25.26
203,0,40,0.666666666666667,20.72,25.35
203,0,50,0.833333333333333,20.65,25.29
203,1,0,1,20.54,25.32
203,1,10,1.16666666666667,20.44,25.18
203,1,20,1.33333333333333,20.44,25.18
203,1,30,1.5,20.44,25.1
203,1,40,1.66666666666667,20.46,25.15
203,1,50,1.83333333333333,20.43,25.17
203,2,0,2,20.35,25.11
203,2,10,2.16666666666667,20.29,25.07
203,2,20,2.33333333333333,20.26,25.09
203,2,30,2.5,20.29,25.2
203,2,40,2.66666666666667,20.29,25.19
203,2,50,2.83333333333333,20.31,25.24
203,3,0,3,20.22,25.02
203,3,10,3.16666666666667,20.14,25.05
203,3,20,3.33333333333333,20.08,25.07
203,3,30,3.5,20.11,25.06
203,3,40,3.66666666666667,20.18,24.87
203,3,50,3.83333333333333,20.33,24.83
203,4,0,4,20.47,24.79
203,4,10,4.16666666666667,20.48,24.84
203,4,20,4.33333333333333,20.38,24.74
203,4,30,4.5,20.36,24.54
203,4,40,4.66666666666667,20.37,24.52
203,4,50,4.83333333333333,20.49,24.55
203,5,0,5,20.6,24.59
203,5,10,5.16666666666667,20.7,24.54
203,5,20,5.33333333333333,20.87,24.44
203,5,30,5.5,21.14,24.5
203,5,40,5.66666666666667,21.41,24.29
203,5,50,5.83333333333333,21.52,24.19
203,6,0,6,21.65,24.38
203,6,10,6.16666666666667,21.79,24.35
203,6,20,6.33333333333333,22.03,24.28
203,6,30,6.5,22.35,24.36
203,6,40,6.66666666666667,22.73,24.3
203,6,50,6.83333333333333,23,24.15
203,7,0,7,23.14,24.2
203,7,10,7.16666666666667,23.28,24.3
203,7,20,7.33333333333333,23.49,24.19
203,7,30,7.5,23.78,24.04
203,7,40,7.66666666666667,24.42,23.83
203,7,50,7.83333333333333,24.69,23.64
203,8,0,8,25.02,23.62
203,8,10,8.16666666666667,25.29,23.82
203,8,20,8.33333333333333,25.73,23.71
203,8,30,8.5,26.15,23.69
203,8,40,8.66666666666667,26.52,23.78
203,8,50,8.83333333333333,26.59,23.91
203,9,0,9,26.9,24.11
203,9,10,9.16666666666667,27.05,24.03
203,9,20,9.33333333333333,27.11,24.3
203,9,30,9.5,27.3,24.39
203,9,40,9.66666666666667,27.79,24.34
203,9,50,9.83333333333333,28.02,23.86
203,10,0,10,27.85,24.14
203,10,10,10.1666666666667,28.05,24.57
203,10,20,10.3333333333333,28.2,24.86
203,10,30,10.5,27.81,25.06
203,10,40,10.6666666666667,28.32,25.14
203,10,50,10.8333333333333,28.44,25
203,11,0,11,28.23,25.21
203,11,10,11.1666666666667,28.71,25.36
203,11,20,11.3333333333333,28.98,25.19
203,11,30,11.5,29.07,25.01
203,11,40,11.6666666666667,29.33,25.02
203,11,50,11.8333333333333,29.45,24.79
203,12,0,12,29.44,24.93
203,12,10,12.1666666666667,29.63,24.93
203,12,20,12.3333333333333,29.99,25.05
203,12,30,12.5,29.99,25.13
203,12,40,12.6666666666667,29.98,25.02
203,12,50,12.8333333333333,30.12,25.33
203,13,0,13,30.45,25.4
203,13,10,13.1666666666667,30.7,25.28
203,13,20,13.3333333333333,30.83,25.11
203,13,30,13.5,30.88,25.29
203,13,40,13.6666666666667,31.18,25.5
203,13,50,13.8333333333333,30.99,25.62
203,14,0,14,31.01,25.73
203,14,10,14.1666666666667,30.87,26.09
203,14,20,14.3333333333333,30.82,26.28
203,14,30,14.5,30.74,26.47
203,14,40,14.6666666666667,30.66,26.57
203,14,50,14.8333333333333,30.93,26.6
203,15,0,15,30.6,26.53
203,15,10,15.1666666666667,30.49,26.7
203,15,20,15.3333333333333,30.46,26.72
203,15,30,15.5,30.62,26.69
203,15,40,15.6666666666667,30.8,26.5
